string_id,kind,scene,speaker,text_it,max_chars,notes
C1_OBJ_001,objective,GLOBAL,SYSTEM,"Chiudi l'ufficio e torna a casa",48,"Objective iniziale"
C1_OBJ_002,objective,GLOBAL,SYSTEM,"Raggiungi la luce sopra il forno",48,"Dopo uscita ufficio"
C1_OBJ_003,objective,GLOBAL,SYSTEM,"Raccogli i frammenti della lettera",48,"Fase raccolta"
C1_OBJ_004,objective,GLOBAL,SYSTEM,"Segui la scia verso il molo",48,"Supporto navigazione"
C1_OBJ_005,objective,GLOBAL,SYSTEM,"Ricomponi la busta",48,"Dopo 4 frammenti"
C1_OBJ_006,objective,GLOBAL,SYSTEM,"Capisci a chi appartiene",48,"Fase deduzione"
C1_OBJ_007,objective,GLOBAL,SYSTEM,"Parla con Rosa",48,"Dopo deduzione corretta"
C1_OBJ_008,objective,GLOBAL,SYSTEM,"Parla con Beppe",48,"Dopo dialogo con Rosa"
C1_OBJ_009,objective,GLOBAL,SYSTEM,"Apri la porta laterale del forno",48,"Setup delivery"
C1_OBJ_010,objective,GLOBAL,SYSTEM,"Torna al forno prima dell'alba",48,"Setup payoff"
C1_HINT_001,hint,C1_VS_S04,SYSTEM,"Le scie si vedono meglio se ti fermi un istante.",72,"Hint follow path"
C1_HINT_002,hint,C1_VS_S07,SYSTEM,"La lettera conosce troppo bene il forno per essere destinata a chi ci entra tutti i giorni.",110,"Feedback errore deduzione"
C1_HINT_003,hint,C1_VS_S10,SYSTEM,"La chiave dovrebbe essere dove la lettera diceva.",72,"Hint su cassa blu"
C1_SYS_001,toast,C1_VS_S03,SYSTEM,"Hai trovato un frammento di lettera.",56,"Toast raccolta primo frammento"
C1_SYS_002,toast,C1_VS_S05,SYSTEM,"La lettera e quasi completa.",56,"Toast frammenti 3 su 4"
C1_SYS_003,toast,C1_VS_S06,SYSTEM,"La busta e ricomposta.",56,"Esito puzzle"
C1_SYS_004,toast,C1_VS_S06,SYSTEM,"La lettera parla di pane, di una porta laterale e di una cassa blu.",120,"Riassunto clue post-lettera"
C1_SYS_005,toast,C1_VS_S07,SYSTEM,"Forse il destinatario non e chi lavora ogni giorno nel forno.",96,"Feedback errore alternativa"
C1_SYS_006,toast,C1_VS_S07,SYSTEM,"Sai a chi appartiene la lettera.",56,"Deduzione corretta"
C1_SYS_007,toast,C1_VS_S10,SYSTEM,"Hai trovato la chiave.",56,"Pickup chiave"
C1_SYS_008,toast,C1_VS_S10,SYSTEM,"La porta laterale e aperta.",56,"Esito interazione porta"
C1_SYS_009,toast,C1_VS_S12,SYSTEM,"Il forno e di nuovo acceso.",56,"World-state reward"
C1_PRM_001,prompt,C1_VS_S02,SYSTEM,"Osserva",24,"Prompt stella"
C1_PRM_002,prompt,C1_VS_S03,SYSTEM,"Raccogli",24,"Prompt frammento"
C1_PRM_003,prompt,C1_VS_S06,SYSTEM,"Ricomponi",24,"Prompt puzzle busta"
C1_PRM_004,prompt,C1_VS_S07,SYSTEM,"Deduzione",24,"Prompt scelta destinatario"
C1_PRM_005,prompt,C1_VS_S08,SYSTEM,"Parla",24,"Prompt Rosa"
C1_PRM_006,prompt,C1_VS_S09,SYSTEM,"Parla",24,"Prompt Beppe"
C1_PRM_007,prompt,C1_VS_S10,SYSTEM,"Guarda sotto",24,"Prompt cassa blu"
C1_PRM_008,prompt,C1_VS_S10,SYSTEM,"Apri",24,"Prompt porta laterale"
C1_PRM_009,prompt,C1_VS_S11,SYSTEM,"Entra",24,"Prompt scena d'alba"
C1_UI_001,button,GLOBAL,SYSTEM,"Continua",16,"Button generico dialogo"
C1_UI_002,button,GLOBAL,SYSTEM,"Chiudi",16,"Button chiusura"
C1_UI_003,button,GLOBAL,SYSTEM,"Rileggi",16,"Button lettera"
C1_UI_004,button,GLOBAL,SYSTEM,"Consegna",16,"Button conferma deduzione"
C1_UI_005,button,GLOBAL,SYSTEM,"Annulla",16,"Button annulla"
C1_UI_006,label,C1_VS_S06,SYSTEM,"Frammenti raccolti",32,"Label puzzle/lettera"
C1_UI_007,label,C1_VS_S07,SYSTEM,"Destinatario",24,"Label deduzione"
C1_UI_008,label,C1_VS_S12,SYSTEM,"Rivaquieta all'alba",32,"Label post-payoff"
